name,url,score
California Pizza Kitchen,https://maps.app.goo.gl/Rvov6ZvDfoX2MCC98,26.0
Extreme Pizza,https://maps.app.goo.gl/1uZxG2mZshD9Pp9A6,131.0
"We, The Pizza",https://maps.app.goo.gl/5GyfTt45vcy9zAG47,9.0
My Own Pizza,https://maps.app.goo.gl/p7hwChtur7r3JpMf8,121.0
Ledo Pizza,https://maps.app.goo.gl/VUBxE3azpT8uRJCx9,57.99999999999999
Sicilian Pizza,https://maps.app.goo.gl/vHVcNh6qjp6B7K2X7,213.0
"We, The Pizza (2)",https://maps.app.goo.gl/k2g41Dqejiw1ZtWy8,0.0
&Pizza (2),https://maps.app.goo.gl/PvT4tKeV5xWPgcAp6,5.0
Marios Pizza House,https://maps.app.goo.gl/VPTjmFT6fdgg5SZL9,4.0
Fire Works Pizza,https://maps.app.goo.gl/THnC7idAdzBh5r3m8,0.0
Pizza Hut,https://maps.app.goo.gl/PAytC1sPyamTMjq37,134.0
Pizza Hut,https://maps.app.goo.gl/cXyTAAhtHRWsXrLJ8,169.0
Pizza Hut,https://maps.app.goo.gl/hfsWC6ozC2Y8q5zc9,175.0
Pizza Hut,https://maps.app.goo.gl/rhz7A2Ty9LKH33PK6,9.0
Pizza Hut,https://maps.app.goo.gl/sHxiiTAGMQAVL8X49,5.0
Pizza Hut,https://maps.app.goo.gl/qoFiL4i3LZYWEQbA8,68.0
Pizza Hut,https://maps.app.goo.gl/kF4SNqzk64xqZ4DG7,0.0
Pizza Hut,https://maps.app.goo.gl/obkDW7ZaCom3W6fr7,18.0
Pizza Hut,https://maps.app.goo.gl/dB5YiybjVpTDLD3k7,4.0
Little Ceasars,https://maps.app.goo.gl/hctAHV5UHhi6cbu26,57.99999999999999
Dominos,https://maps.app.goo.gl/9Wz14mHEPi2xJqDh6,16.0
Dominos,https://maps.app.goo.gl/bzvW89Nu3DkVtHPk8,5.0
Dominos,https://maps.app.goo.gl/2hcgnKJJxSQWvzsd6,145.0
Dominos,https://maps.app.goo.gl/2yVhqxxiEP3wfxiF9,263.0
Dominos,https://maps.app.goo.gl/aXnyytcWFYimhTZh7,12.0
Dominos,https://maps.app.goo.gl/m54BsuLK3u9oXAYu6,189.0
Dominos,https://maps.app.goo.gl/DCgbMvt61PamDVyz5,122.0
Dominos,https://maps.app.goo.gl/UMD4vfbv1KZ8k85X6,213.0
Dominos,https://maps.app.goo.gl/9eZappuaYoMcNU8n6,127.0
Dominos,https://maps.app.goo.gl/f2a9chVoEHiMKuPv6,115.99999999999999
Papa Johns,https://maps.app.goo.gl/emm3iY2pZ8NA2W7X7,0.0
Papa Johns,https://maps.app.goo.gl/Prr9fJnhk3agMZGh8,0.0
Papa Johns,https://maps.app.goo.gl/o83bP4dv2aR6dzAa9,0.0
Papa Johns,https://maps.app.goo.gl/UgAYPFe7TsjV9yTD9,122.0
Papa Johns,https://maps.app.goo.gl/xdPiYCiTpU2iSoq88,0.0
Papa Johns,https://maps.app.goo.gl/GJA8HgBgUPCvNbQM9,0.0
Papa Johns,https://maps.app.goo.gl/EAcpbLR6FnkxEhfm9,455.0
Papa Johns,https://maps.app.goo.gl/ZpLB6J6aJfwPuEeh8,179.0
Papa Johns,https://maps.app.goo.gl/9R944uNw5hSqrUct7,30.0
Papa Johns,https://maps.app.goo.gl/pHE5xFZF4J16Jho19,184.0
Papa Johns,https://maps.app.goo.gl/o9YiDn8dFEFE2nsw5,11.0
Papa Johns,https://maps.app.goo.gl/M1DMBuFZraQL1qkx7,0.0
Papa Johns,https://maps.app.goo.gl/MPZN88yahVMWQcEaA,110.00000000000001
Papa Johns,https://maps.app.goo.gl/gMyCwZw4VKq3sAMSA,0.0
Papa Johns,https://maps.app.goo.gl/vQGxcpBodu2beyod9,125.0
